Overriding config with config/train_shakespeare_char_cpu.py:
# Tiny char-level GPT sized for a CPU-only Intel Mac.
# Trains in roughly 10-15 minutes and produces recognisably Shakespeare-ish text.
# Run: python train.py config/train_shakespeare_char_cpu.py

out_dir = 'out-shakespeare-char-cpu'
eval_interval = 250
eval_iters = 50
log_interval = 10

always_save_checkpoint = False  # only save when val loss improves

wandb_log = False

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 32
block_size = 64  # context length: how many characters of history

# a baby GPT: ~0.8M params
n_layer = 4
n_head = 4
n_embd = 128
dropout = 0.0

learning_rate = 1e-3
max_iters = 2000
lr_decay_iters = 2000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100

device = 'cpu'
compile = False  # torch.compile has no speed benefit here and is slow to warm up

# train.py defaults dtype to float16 when no CUDA bf16 is present, which then
# switches on a CUDA GradScaler that cannot work on this machine. Force float32.
dtype = 'float32'

tokens per iteration will be: 2,048
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 802,944 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: False
step 0: train loss 4.1702, val loss 4.1658
iter 0: loss 4.1714, time 3031.82ms, mfu -100.00%
iter 10: loss 3.7233, time 94.17ms, mfu 0.04%
iter 20: loss 3.5309, time 104.88ms, mfu 0.04%
iter 30: loss 3.2548, time 111.58ms, mfu 0.04%
iter 40: loss 3.0030, time 85.21ms, mfu 0.04%
iter 50: loss 2.8587, time 86.03ms, mfu 0.04%
iter 60: loss 2.7093, time 111.32ms, mfu 0.04%
iter 70: loss 2.6697, time 97.06ms, mfu 0.04%
iter 80: loss 2.6282, time 103.19ms, mfu 0.04%
iter 90: loss 2.5803, time 85.19ms, mfu 0.04%
iter 100: loss 2.5712, time 85.50ms, mfu 0.04%
iter 110: loss 2.4918, time 121.53ms, mfu 0.04%
iter 120: loss 2.4803, time 90.39ms, mfu 0.04%
iter 130: loss 2.4123, time 104.21ms, mfu 0.04%
iter 140: loss 2.5026, time 129.31ms, mfu 0.03%
iter 150: loss 2.4205, time 115.80ms, mfu 0.03%
iter 160: loss 2.4742, time 106.74ms, mfu 0.03%
iter 170: loss 2.4002, time 124.01ms, mfu 0.03%
iter 180: loss 2.3611, time 101.68ms, mfu 0.03%
iter 190: loss 2.4413, time 123.01ms, mfu 0.03%
iter 200: loss 2.4100, time 124.70ms, mfu 0.03%
iter 210: loss 2.3562, time 105.19ms, mfu 0.03%
iter 220: loss 2.3778, time 109.94ms, mfu 0.03%
iter 230: loss 2.3671, time 115.91ms, mfu 0.03%
iter 240: loss 2.3223, time 107.78ms, mfu 0.03%
step 250: train loss 2.3226, val loss 2.3310
saving checkpoint to out-shakespeare-char-cpu
iter 250: loss 2.3008, time 4287.74ms, mfu 0.03%
iter 260: loss 2.3760, time 141.95ms, mfu 0.03%
iter 270: loss 2.3554, time 154.38ms, mfu 0.03%
iter 280: loss 2.3469, time 128.14ms, mfu 0.03%
iter 290: loss 2.2415, time 130.01ms, mfu 0.03%
iter 300: loss 2.2284, time 186.09ms, mfu 0.03%
iter 310: loss 2.3090, time 161.64ms, mfu 0.03%
iter 320: loss 2.2791, time 140.69ms, mfu 0.03%
iter 330: loss 2.2893, time 188.28ms, mfu 0.02%
iter 340: loss 2.2272, time 181.39ms, mfu 0.02%
iter 350: loss 2.2545, time 138.32ms, mfu 0.02%
iter 360: loss 2.1549, time 292.02ms, mfu 0.02%
iter 370: loss 2.1465, time 199.94ms, mfu 0.02%
iter 380: loss 2.1984, time 167.28ms, mfu 0.02%
iter 390: loss 2.1455, time 168.59ms, mfu 0.02%
iter 400: loss 2.1908, time 158.50ms, mfu 0.02%
iter 410: loss 2.1478, time 162.36ms, mfu 0.02%
iter 420: loss 2.1590, time 126.35ms, mfu 0.02%
iter 430: loss 2.0891, time 146.10ms, mfu 0.02%
iter 440: loss 2.1015, time 125.37ms, mfu 0.02%
iter 450: loss 2.0801, time 119.97ms, mfu 0.02%
iter 460: loss 2.0367, time 120.04ms, mfu 0.02%
iter 470: loss 2.1653, time 175.82ms, mfu 0.02%
iter 480: loss 2.1041, time 167.73ms, mfu 0.02%
iter 490: loss 2.0616, time 134.57ms, mfu 0.02%
step 500: train loss 2.0633, val loss 2.1141
saving checkpoint to out-shakespeare-char-cpu
iter 500: loss 2.0874, time 3376.57ms, mfu 0.02%
iter 510: loss 2.0256, time 176.94ms, mfu 0.02%
iter 520: loss 1.9935, time 252.51ms, mfu 0.02%
iter 530: loss 2.0119, time 114.53ms, mfu 0.02%
iter 540: loss 2.0670, time 146.98ms, mfu 0.02%
iter 550: loss 2.0100, time 103.08ms, mfu 0.02%
iter 560: loss 1.9879, time 108.26ms, mfu 0.02%
iter 570: loss 1.9356, time 134.78ms, mfu 0.02%
iter 580: loss 1.9863, time 112.13ms, mfu 0.02%
iter 590: loss 1.8957, time 130.78ms, mfu 0.02%
iter 600: loss 2.0297, time 127.70ms, mfu 0.02%
iter 610: loss 1.9860, time 132.64ms, mfu 0.02%
iter 620: loss 1.9546, time 106.52ms, mfu 0.03%
iter 630: loss 1.9503, time 128.81ms, mfu 0.03%
iter 640: loss 1.9721, time 110.08ms, mfu 0.03%
iter 650: loss 1.9149, time 105.94ms, mfu 0.03%
iter 660: loss 1.9032, time 116.74ms, mfu 0.03%
iter 670: loss 1.9119, time 118.58ms, mfu 0.03%
iter 680: loss 1.9160, time 104.35ms, mfu 0.03%
iter 690: loss 1.8337, time 106.88ms, mfu 0.03%
iter 700: loss 1.8900, time 105.37ms, mfu 0.03%
iter 710: loss 1.8687, time 103.10ms, mfu 0.03%
iter 720: loss 1.9627, time 129.77ms, mfu 0.03%
iter 730: loss 1.8891, time 104.40ms, mfu 0.03%
iter 740: loss 1.8857, time 132.10ms, mfu 0.03%
step 750: train loss 1.8840, val loss 1.9988
saving checkpoint to out-shakespeare-char-cpu
iter 750: loss 1.8505, time 3330.38ms, mfu 0.03%
iter 760: loss 1.8270, time 160.33ms, mfu 0.03%
iter 770: loss 1.8200, time 130.76ms, mfu 0.03%
iter 780: loss 1.8545, time 143.84ms, mfu 0.03%
iter 790: loss 1.7623, time 99.21ms, mfu 0.03%
iter 800: loss 1.8784, time 104.41ms, mfu 0.03%
iter 810: loss 1.8140, time 100.81ms, mfu 0.03%
iter 820: loss 1.8106, time 100.94ms, mfu 0.03%
